host_since,latitude,longitude,,,
1-7-2015,52.41070986,4.907993266,,,
1-2-2012,52.40477751,4.899538987,,,
1-2-2013,52.41286382,4.889498468,,,
29-6-2012,52.41529174,4.890980888,,,
9-2-2014,52.42223217,4.890982225,,,
4-2-2014,52.40970625,4.906911272,,,
2-11-2017,52.40974021,4.895989746,,,
14-12-2016,52.40755848,4.89879641,,,
9-5-2015,52.40262393,4.908303639,,,
10-8-2017,52.40337841,4.917903089,,,
7-7-2016,52.41693315,4.896992908,,,
10-5-2015,52.42002644,4.88875615,,,
30-7-2017,52.4146803,4.893302221,,,
3-2-2017,52.40585821,4.914031241,,,
8-12-2015,52.40431658,4.909595046,,,
27-3-2015,52.40216585,4.912873894,,,
12-12-2015,52.41576682,4.884025153,,,
4-2-2014,52.40998942,4.906408056,,,
22-6-2014,52.40796643,4.9000679,,,
19-4-2017,52.41270544,4.882826048,,,
23-10-2013,52.41650667,4.878918671,,,
9-7-2016,52.42088591,4.891997523,,,
29-12-2014,52.41320534,4.908728654,,,
18-10-2016,52.41865798,4.890773719,,,
9-2-2014,52.4213686,4.889920506,,,
30-4-2015,52.42005888,4.895374748,,,
20-3-2016,52.40770176,4.905362239,,,
24-10-2015,52.40171501,4.914017729,,,
28-7-2017,52.41541332,4.883358694,,,
24-5-2013,52.42117111,4.90133171,,,
4-11-2015,52.42052256,4.89126598,,,
2-3-2013,52.40087899,4.92070898,,,
27-3-2016,52.42343234,4.88500001,,,
4-2-2010,52.4062521,4.906791186,,,
28-4-2014,52.40404202,4.900853957,,,
22-8-2012,52.42282699,4.892090239,,,
 Sarah & Lindy,7/19/2013,52.40752405,,,
14-7-2016,52.41375732,4.91931574,,,
8-1-2014,52.41727664,4.905429269,,,
19-4-2015,52.40632603,4.902494002,,,
16-9-2014,52.41661306,4.883068346,,,
10-9-2015,52.40948838,4.921365994,,,
8-12-2015,52.408475,4.917681838,,,
31-7-2014,52.41198298,4.885223535,,,
30-3-2014,52.41637617,4.886409949,,,
13-11-2013,52.4089509,4.899948184,,,
18-8-2016,52.40591028,4.910844797,,,
19-5-2014,52.4104214,4.893002374,,,
29-4-2014,52.4183884,4.903857461,,,
17-1-2013,52.41518933,4.892400292,,,
10-6-2013,52.407765,4.902479195,,,
26-6-2014,52.4080607,4.905051734,,,
21-5-2014,52.40964679,4.892259353,,,
19-7-2016,52.40669162,4.916432458,,,
16-7-2015,52.41298701,4.918472222,,,
18-6-2016,52.40702224,4.91250582,,,
30-4-2017,52.41511898,4.884179634,,,
23-4-2012,52.4222278,4.886784744,,,
17-3-2012,52.41058953,4.90486332,,,
5-4-2016,52.40499095,4.906369435,,,
4-1-2015,52.40656949,4.908171581,,,
5-2-2014,52.40182627,4.914041227,,,
8-6-2016,52.4041224,4.916742653,,,
28-2-2017,52.41090763,4.886654913,,,
7-1-2013,52.42332129,4.887407591,,,
19-11-2012,52.40491094,4.90493429,,,
7-1-2013,52.4234977,4.888058687,,,
24-5-2013,52.41965715,4.902989647,,,
13-2-2017,52.40932147,4.925786927,,,
24-2-2013,52.403278,4.899350019,,,
20-6-2016,52.40431897,4.909680706,,,
22-5-2017,52.42271578,4.890122984,,,
3-2-2017,52.40742522,4.91388097,,,
14-11-2015,52.41394822,4.91932299,,,
3-2-2017,52.40722088,4.914811298,,,
8-12-2013,52.40854715,4.901864311,,,
21-11-2017,52.40986425,4.88776361,,,
14-6-2015,52.41419843,4.884270496,,,
18-9-2012,52.41341112,4.881525819,,,
7-8-2014,52.40344889,4.898706338,,,
26-8-2012,52.42037138,4.894702949,,,
7-8-2012,52.40440345,4.920124037,,,
19-10-2015,52.41340396,4.881382932,,,
4-9-2016,52.4086015,4.922094494,,,
16-9-2014,52.417267,4.900819812,,,
18-3-2014,52.4060514,4.900400921,,,
27-9-2012,52.41121594,4.895949197,,,
16-10-2017,52.40543706,4.911207085,,,
17-6-2017,52.41953176,4.872321074,,,
1-6-2016,52.41006763,4.92181621,,,
18-1-2016,52.41590005,4.883894824,,,
25-1-2016,52.40845654,4.906027978,,,
17-6-2017,52.41870883,4.871900225,,,
7-2-2017,52.40786806,4.903850741,,,
18-11-2015,52.41332414,4.903137353,,,
4-2-2014,52.41049803,4.9063467,,,
28-8-2014,52.41310431,4.88172457,,,
24-12-2015,52.41234543,4.906723743,,,
10-3-2013,52.4178216,4.905628972,,,
17-6-2017,52.41868527,4.872204819,,,
20-5-2013,52.41298814,4.889277787,,,
29-6-2014,52.41662669,4.904633162,,,
22-8-2012,52.42425514,4.891527303,,,
13-3-2015,52.40826008,4.903658692,,,
5-3-2013,52.40085759,4.920289347,,,
11-4-2014,52.40721932,4.910214093,,,
5-6-2016,52.40697814,4.905585121,,,
8-4-2014,52.40717224,4.905459153,,,
19-3-2015,52.4113304,4.904646169,,,
4-9-2014,52.42464056,4.888650871,,,
12-12-2013,52.408566,4.922861397,,,
7-5-2017,52.40583181,4.918916869,,,
6-10-2015,52.41042491,4.897770292,,,
23-3-2014,52.42034158,4.901952339,,,
9-7-2017,52.41828187,4.900039763,,,
1-1-2014,52.41302076,4.919057963,,,
6-5-2015,52.40784858,4.898950924,,,
22-5-2017,52.4229835,4.88821273,,,
19-5-2014,52.41277998,4.893505581,,,
6-6-2014,52.41185689,4.888463633,,,
30-7-2014,52.41117754,4.918309125,,,
27-1-2016,52.41898636,4.900843227,,,
10-2-2013,52.41749354,4.901195571,,,
22-6-2016,52.41813045,4.902587733,,,
3-4-2016,52.40690273,4.90367278,,,
5-3-2015,52.4066049,4.896427975,,,
19-9-2013,52.41327718,4.904004484,,,
10-9-2014,52.42498037,4.886368481,,,
7-6-2017,52.40464883,4.898409401,,,
12-2-2012,52.40455888,4.918170065,,,
28-3-2016,52.41429622,4.907546926,,,
11-9-2013,52.41515521,4.894433682,,,
15-1-2016,52.41410904,4.892731981,,,
2-10-2015,52.40222181,4.910459397,,,
7-1-2016,52.4142527,4.883660743,,,
10-8-2011,52.40775121,4.905048065,,,
23-1-2014,52.42399339,4.891546257,,,
4-3-2017,52.41689204,4.885161524,,,
19-7-2014,52.40672191,4.902280165,,,
14-7-2014,52.41117881,4.886958873,,,
25-7-2015,52.40961688,4.924736909,,,
23-10-2013,52.41293805,4.88637771,,,
18-7-2016,52.41073163,4.902999043,,,
10-4-2013,52.404055,4.909359639,,,
13-9-2017,52.41341056,4.918602494,,,
12-1-2016,52.40949874,4.922813581,,,
20-1-2013,52.40380141,4.901146838,,,
24-6-2015,52.39949815,4.921976779,,,
5-2-2014,52.40179822,4.9137609,,,
22-1-2014,52.41710928,4.891266737,,,
17-6-2017,52.41771734,4.87269547,,,
24-9-2013,52.40796015,4.89688773,,,
15-7-2013,52.40934222,4.925970944,,,
6-8-2014,52.40116132,4.920776137,,,
17-8-2015,52.40789246,4.914467191,,,
25-2-2014,52.40914743,4.890403829,,,
18-1-2016,52.4074916,4.898088209,,,
3-2-2015,52.42043138,4.894810168,,,
26-10-2016,52.41288428,4.892264649,,,
25-9-2017,52.41301327,4.892559722,,,
13-5-2013,52.40128457,4.909118653,,,
11-5-2016,52.41174996,4.888012589,,,
22-6-2017,52.42006842,4.90056207,,,
10-3-2013,52.41772084,4.905693212,,,
13-12-2015,52.3883542,4.913337662,,,
19-3-2015,52.3842979,4.907688951,,,
2-1-2014,52.38608605,4.916463596,,,
7-4-2013,52.39243317,4.912700691,,,
16-7-2013,52.38434788,4.913678709,,,
27-5-2013,52.38891004,4.915749524,,,
27-2-2017,52.3873298,4.908500971,,,
27-3-2013,52.38336534,4.909378159,,,
18-6-2012,52.39380722,4.908670408,,,
31-7-2012,52.38322119,4.913917861,,,
9-8-2014,52.39741007,4.914838745,,,
22-3-2016,52.3833863,4.911572039,,,
16-11-2017,52.39211173,4.909658574,,,
9-4-2015,52.39589383,4.905614159,,,
16-2-2017,52.38337084,4.916266987,,,
22-6-2016,52.38271515,4.914994361,,,
19-3-2015,52.38457849,4.91650008,,,
22-11-2013,52.39162823,4.908967767,,,
15-7-2016,52.39388842,4.911136541,,,
30-6-2014,52.39158729,4.912179168,,,
30-5-2016,52.38433684,4.916335745,,,
20-7-2015,52.38695511,4.915659099,,,
27-1-2013,52.38459249,4.913734362,,,
25-9-2017,52.3924792,4.909414551,,,
14-6-2013,52.38188726,4.915921848,,,
16-1-2016,52.38340487,4.916759533,,,
31-3-2016,52.39737502,4.916374729,,,
25-9-2017,52.39421834,4.91101007,,,
19-9-2014,52.39801465,4.9144207,,,
13-8-2015,52.39657337,4.907381437,,,
28-6-2014,52.39361941,4.916019275,,,
9-5-2016,52.38889072,4.941576172,,,
23-5-2012,52.39805064,4.915975276,,,
11-7-2012,52.39527415,4.916331324,,,
6-1-2017,52.38820246,4.912319208,,,
9-8-2015,52.3967454,4.915302107,,,
16-3-2011,52.3902276,4.939979237,,,
4-3-2015,52.38908167,4.942279065,,,
5-4-2017,52.38788204,4.946753995,,,
25-9-2017,52.39410729,4.910057182,,,
15-1-2014,52.39078057,4.9413997,,,
31-8-2015,52.39085544,4.940968654,,,
12-9-2012,52.38953466,4.940923831,,,
8-1-2016,52.38681964,4.92120857,,,
29-2-2016,52.39212208,4.924692899,,,
18-5-2016,52.39025999,4.943441441,,,
31-3-2016,52.39220088,4.94125581,,,
25-9-2016,52.39219841,4.931026934,,,
30-10-2011,52.38279576,4.918228745,,,
16-2-2015,52.39160448,4.941836916,,,
19-1-2015,52.3915223,4.943138444,,,
13-4-2017,52.39050961,4.940434743,,,
8-12-2016,52.39163017,4.949403277,,,
6-6-2014,52.4004606,4.904477528,,,
25-10-2016,52.3999743,4.904658369,,,
14-7-2013,52.4006822,4.902878429,,,
19-7-2017,52.4024072,4.901977413,,,
11-12-2016,52.39962871,4.901997411,,,
